frcd,partno,partname,floor,repack,picktime_repack_mean,picktime_repack_std,picktime_norepack_mea,picktime_norepack_std,supplier1,supplier2
A,5144102440,右引擎下護板,3,,,,,,KG0,H807
A,8158102A90,右尾燈殼,3,,,,,,KG0,D401
S,400431478,,3,,,,,,TG0,
C,8113037341,大燈外殼總成，右,3,,,,,,HG0,
A,5832702290,消音器隔熱板,2,,,,,,KG0,L206
C,4351237150,前煞車碟盤,2,,,,,,HG0,
A,815510A080,組合燈殼,3,,,,,,KG0,D401
A,6446102060,行李廂蓋防水膠條,3,,,,,,KG0,T009
A,815500A081,右後組合燈總成,3,,,,,,KG0,D401
A,8794002909,後視鏡總成,3,,,,,,KG0,J002
A,853150A050,前擋噴水筒總成,3,,,,,,KG0,T015
A,270600H091,發電機總成,3,,,,,,KG0,T015
A,7702406110,燃油芯,3,,,,,,KG0,C306
C,23355EV013,車道燃油濾芯組,3,,,,,,HG0,
D,1780131141,"濾芯半總成, 空氣芯",3,,,,,,TG0,
A,4351233150,前煞車碟盤,2,,,,,,TG0,
D,7716952010,燃油芯座墊片,2,Y,,,,,TG0,
G,8713928020,A/C濾網,3,,,,,,TG0,
A,9091602609,風扇V形皮帶,3,,,,,,TG0,
A,178010H020,空氣芯,3,,,,,,KG0,T015
D,2321736010,燃油泵濾網,3,,,,,,TG0,
C,SZ91049326,V型皮帶組,3,,,,,,HG0,
C,15601EV030,機油濾清器濾芯,3,,,,,,HG0,
A,9046707215,管夾,2,Y,,,,,TG0,
C,23304EV570,燃油濾清器濾芯,3,,,,,,HG0,
A,7716952040,燃油芯座墊片,3,,,,,,TG0,
A,852140D121,雨刷橡皮,2,Y,,,,,PG1,UMW
A,7710312150,燃油杯,3,,,,,,TG0,
N,12040HWGA,玻璃ＰＵ膠,2,,,,,,NCC,
2,677008840,,4,,,,,,#N/A,
A,5555016140B0,手套箱蓋板,4,,,,,,KG0,F601
A,770240K190,燃油芯,4,,,,,,PG1,
N,7100135646,"PPS2.0上蓋散裝-適用(400/200/90ML)內杯,200U",4,,,,,,NE5,
N,7100135945,"PPS2.0大型內杯組- 上蓋+內杯(850ML),125U",4,,,,,,NE5,
G,4620126150C0,手煞車拉桿,2,,,,,,TG0,
A,8151020810,右前方向燈燈總成,2,,,,,,KG0,D401
G,1789311080,進氣穩壓筒,3,,,,,,TG0,
A,514420D070,左引擎下護板,3,,,,,,KG0,H807
A,7151242190,椅座墊,3,,,,,,TG0,
D,8531533520,前擋噴水筒總成,3,,,,,,TG0,
G,8710336011,鼓風機馬達,3,,,,,,TG0,
C,8111025161,大燈總成，右,3,,,,,,HG0,
A,8531568020,噴水筒總成,3,,,,,,KG0,T015
A,5144202530,左引擎下護板,3,,,,,,KG0,H807
D,8155178191,組合燈殼,3,,,,,,TG0,
C,5381337190A0,前側邊鈑，右,3,,,,,,HG0,
A,270600D260,發電機總成,3,,,,,,KG0,T015
A,4823106410,圈狀彈簧,2,,,,,,KG0,J003
A,8850102320,冷氣機蒸發器,3,,,,,,KG0,T015
A,8156102830,組合燈殼,3,,,,,,KG0,D401
A,815610A080,組合燈殼,3,,,,,,KG0,D401
A,815610DB31,組合燈殼,3,,,,,,KG0,D401
A,815600DD90,組合燈總成,3,,,,,,KG0,D401
C,1780178090,空氣濾清器濾芯,3,,,,,,HG0,
C,879060W230,左照後鏡總成,3,,,,,,KG0,J002
G,4243137091,後煞車碟盤,2,,,,,,TG0,
C,879010W230,右照後鏡總成,3,,,,,,KG0,J002
D,4882033070,平衡桿連桿總成,3,,,,,,TG0,
A,8531542460,前擋噴水筒總成,3,,,,,,TG0,
A,8791002909,後視鏡總成,3,,,,,,KG0,J002
D,8847447020,冷媒乾燥器,3,,,,,,TG0,
C,S47ABEV060,乾燥劑,3,,,,,,HG0,
A,814400D060,日行燈總成,3,,,,,,PG1,
A,4243178010,後煞車碟盤,3,,,,,,TG0,
A,9046722015,管夾,2,Y,,,,,TG0,
A,044650A010,前碟煞蹄片組,3,,,,,,KG0,T024
A,8156142230,組合燈殼,3,,,,,,TG0,
A,6446102320,行李箱防水橡皮,3,,,,,,KG0,T009
A,7702406250,燃油芯,3,,,,,,KG0,C306
N,24SF227,車身ＰＵ膠,2,,,,,,NCC,
F,9086110000T,V型皮帶,3,,,,,,DG0,
A,9018906013,墊圈,2,Y,,,,,TG0,T023
A,90916T2030,風扇V形皮帶,3,,,,,,PG1,
A,1657722H02,水箱水管,3,,,,,,TG0,
C,1780178130,空氣濾清器濾芯,3,,,,,,HG0,
C,23304EV441,燃油濾清器濾芯,3,,,,,,HG0,
A,90916T2047,風扇V形皮帶,3,,,,,,PG1,
A,165730D080,水箱總成軟管,3,,,,,,KG0,T009
D,1780124040,空氣芯,3,,,,,,TG0,
A,4881506111,平衡桿橡皮,2,Y,,,,,KG0,Y501
A,8847417010,冷媒乾燥器,3,,,,,,KG0,T015
A,4882047010,平衡桿連桿總成,3,,,,,,TG0,
A,7702452280,燃油芯,3,,,,,,TG0,
A,232170Y030,燃油泵濾網,3,,,,,,PG1,K001
N,9.01E+11,,3,,,,,,NH0,
A,482312G340,圈狀彈簧,4,,,,,,KG0,J003
A,8156090P53,組合燈總成,4,,,,,,KG0,D401
2,2677006380,白金型火星塞，PW16TT,4,,,,,,#N/A,
A,8162138020,左車幅位置燈殼,4,,,,,,KG0,D401
7,3MHAMTOY05,PM0.3 A/C 空調濾網,4,,,,,,NE5,
O,SU00308059,汽門彈簧修理包,4,,,,,,TG0,
C,25608E0330,EGR閥冷卻器,2,,,,,,HG0,
C,2335578391,車道燃油濾芯組,2,,,,,,HG0,
G,8156136390,組合燈殼,2,,,,,,TG0,
C,8115025280,大燈總成，左,2,,,,,,HG0,
A,8152020800,左前方向燈燈總成,2,,,,,,KG0,D401
C,884610W070,冷凝器芯子,3,,,,,,KG0,T015
A,514410D040,右引擎下護板,3,,,,,,KG0,H807
C,5177137211,右前門腳踏板,3,,,,,,HG0,
A,815600K271,組合燈總成,3,,,,,,PG1,
C,8113037670,大燈外殼總成，右,3,,,,,,HG0,
A,5144102360,右引擎下護板,3,,,,,,KG0,H807
S,400427778,,3,,,,,,TG0,
A,4876006090,避震器上座,3,,,,,,KG0,Y501
C,S879301310,後視鏡總成,3,,,,,,HG0,
A,87940BZU20,後視鏡總成,3,,,,,,PG1,TAM
A,815510DA21,組合燈殼,3,,,,,,KG0,D401
D,8155033592,右後組合燈總成,3,,,,,,TG0,
C,1636178220,冷卻風扇,3,,,,,,HG0,
C,SG400E0151,感知器,3,,,,,,HG0,
A,815510M070,右後組合燈殼,3,,,,,,KG0,D401
C,S17H0E0044,泵浦,3,,,,,,HG0,
A,1237111540,後引擎腳,2,,,,,,KG0,Y501
A,815500K690,右後組合燈總成,3,,,,,,PG1,
A,4813102R10,圈狀彈簧,2,,,,,,KG0,J003
A,8155142171,組合燈殼,3,,,,,,TG0,
A,9094201033,輪胎螺帽,2,Y,,,,,TG0,
A,8155142202,組合燈殼,3,,,,,,TG0,
C,5612125040,擋風玻璃橡皮,3,,,,,,HG0,
A,8159042032,左尾燈總成,3,,,,,,TG0,
A,4853002680,後避震器總成,3,,,,,,KG0,E501
A,81560YY031,組合燈總成,3,,,,,,KG0,D401
C,5504637070B0,儀錶板下護蓋,3,,,,,,HG0,
A,481570M010,圈狀彈簧防塵套,3,,,,,,KG0,Y501
A,8791042C10,後視鏡總成,3,,,,,,TG0,
A,81561BZ580,組合燈殼,3,,,,,,KG0,D401
A,6446106070,行李廂蓋防水膠條,3,,,,,,KG0,T009
A,521510K040,後保險桿右彎角,3,,,,,,PG1,
A,1626024050,冷卻水旁通軟管,3,,,,,,TG0,
C,S474418660,煞車來令片,3,,,,,,HG0,
C,1.78E+224,,3,,,,,,HG0,
D,7702476030,燃油芯,3,,,,,,TG0,
A,7702433510,燃油濾清器含固定板,3,,,,,,TG0,
A,8794002P90,後視鏡總成，左,3,,,,,,KG0,J002
N,ALTISTSSOM,車主使用手冊,3,,,,,,IAL,
G,3121036292,離合器壓板,2,,,,,,TG0,
A,8791002Q00,後視鏡總成，右,3,,,,,,KG0,J002
A,8616002D31,揚聲器總成,3,,,,,,PG1,
D,7710312150,燃油杯,3,,,,,,TG0,
C,8850137120,蒸發器副總成,3,,,,,,HG0,
A,6446106140,行李廂蓋防水膠條,3,,,,,,KG0,T009
A,4243128130,後煞車碟盤,2,,,,,,TG0,
G,1780158040,空氣芯,3,,,,,,TG0,
A,4815702240,圈狀彈簧防塵套,3,,,,,,KG0,Y501
A,879100D925,後視鏡總成,3,,,,,,KG0,J002
A,123720M070,左引擎腳,2,,,,,,KG0,Y501
C,23304EV072,燃油濾清器濾芯,3,,,,,,HG0,
N,4510012G70C083,方向盤總成,3,,,,,,NIK,
A,4351228190,前煞車碟盤,3,,,,,,TG0,
A,4243102260,後煞車碟盤,3,,,,,,KG0,T024
A,167110M010,風扇護罩,3,,,,,,KG0,T015
A,123050M020,右引擎腳次總成,3,,,,,,KG0,Y501
C,23304EV063,燃油濾清器濾芯,3,,,,,,HG0,
A,6446102150,行李廂蓋防水膠條,3,,,,,,KG0,T009
A,5320802210,引擎蓋鎖支架,2,,,,,,KG0,S920
A,678620A030,左前門防水膠條,3,,,,,,KG0,T009
G,90915300028T,機油濾清器,3,,,,,,PG1,
A,5259202400,密封板 後保險桿 左,3,,,,,,KG0,F601
D,7702433390,燃油芯,3,,,,,,TG0,
A,646070D020,行李廂鎖拉索次總成,3,,,,,,KG0,J003
A,8794042M20,後視鏡總成,3,,,,,,TG0,
C,47441EV060,煞車來令片（非石棉，耐磨材質）,3,,,,,,HG0,
C,S178013371,空氣濾清器濾芯,3,,,,,,HG0,
A,814300D060,日行燈總成,3,,,,,,PG1,
A,53812BZ650,葉子板次總成,3,,,,,,KG0,K001
A,8148202B40,左霧燈蓋,3,,,,,,KG0,F601
A,6788142070,尾門防水膠條,3,,,,,,TG0,
D,7702412380,燃油芯,3,,,,,,TG0,
A,87139YZZ60,A/C濾網,3,,,,,,DG0,
A,165730T050,水箱總成軟管,3,,,,,,KG0,T009
A,6446102220,行李廂蓋防水膠條,3,,,,,,KG0,T009
N,15607237083,機油芯,3,,,,,,HN1,
A,G92Z047100,接線盒,3,,,,,,TG0,
G,3125037221,離合器片,3,,,,,,TG0,
A,7702406200,燃油芯,3,,,,,,KG0,C306
C,23304EV550,燃油濾清器濾芯,3,,,,,,HG0,
A,4881806211,後平衡桿橡皮,2,Y,,,,,KG0,Y501
D,9043018008,墊片,2,Y,,,,,TG0,
A,9046707217,夾扣,2,Y,,,,,TG0,
O,400336152,,3,,,,,,TG0,
A,17801YZZA3,"濾芯半總成, 空氣芯",3,,,,,,PG1,
C,23304EV530,燃油濾清器濾芯,3,,,,,,HG0,
D,9043012031,放油塞墊片,3,,,,,,TG0,
A,9091602761,風扇V形皮帶,3,,,,,,TG0,
A,9091602664,風扇V形皮帶,3,,,,,,TG0,
A,521610K060,保險桿固定按扣,2,Y,,,,,KG0,T023
A,1780121030,空氣芯,3,,,,,,TG0,T015
A,G92DH12050,HV電瓶進氣過濾器,3,,,,,,TG0,S912
A,7724106010,油管接頭夾座,2,Y,,,,,KG0,C306
A,446542180,,2,,,,,,TG0,
A,446533480,,2,,,,,,TG0,
A,9026904051,鉚釘,2,Y,,,,,TG0,
A,04466YZZAS,後煞車來令片組,3,,,,,,TG0,
A,9017722001,螺帽,2,Y,,,,,TG0,
A,9043012031,放油塞墊片,2,Y,,,,,TG0,
A,9043018008,墊片,2,Y,,,,,TG0,
A,8934802330,車距感知器固定扣鈕,3,,,,,,KG0,T012
6,C8DCS00P01B,TPMS發射器(金屬氣嘴版),2,Y,,,,,NI2,
N,900838100483LED,飛利浦 T10 LED燈泡,2,Y,,,,,NH0,
A,7716947030,燃油芯座墊片,2,Y,,,,,TG0,
A,3516812091,變速箱油底殼墊片,3,,,,,,TG0,
N,CR2032MAX,防盜器電池,2,Y,,,,,MAX,
A,5201120300,右前保險桿支撐臂,4,,,,,,KG0,B601
N,7100135626,"PPS2.0上蓋散裝-適用(850/650ML)內杯,200U",4,,,,,,NE5,
N,1802CS0010,輪胎氣嘴蓋,4,,,,,,HI1,
7,DCC5005,空調濾網,4,,,,,,DG0,
O,S475AE2040,煞車空氣鋼管，A,4,,,,,,KG0,
2,2677004230,銥合金火星塞，FK20HR11,4,,,,,,#N/A,
2,677006770,,4,,,,,,#N/A,
2,2677003000,火星塞，SK16HR-11,4,,,,,,#N/A,
2,2677007700,"銥合金火星塞,FK16HRA8",4,,,,,,#N/A,
O,S475AE2050,煞車空氣鋼管，A,4,,,,,,KG0,
C,178013480,空氣濾清器濾芯,4,,,,,,HG0,
S,400318224,,4,,,,,,TG0,
A,5320920380,引擎鎖托架支柱次總成,2,,,,,,KG0,B601
F,1161209600T,加熱器芯子,2,,,,,,DG0,
U,WCBBL1706HH,藍色工單板夾(10入),2,,,,,,XHH,
U,WCBRD1706HH,紅色工單板夾(10入),2,,,,,,XHH,
S,400307136,,4,,,,,,TG0,
V,7100003290,3M PPS噴杯內袋,4,,,,,,NE5,
