frcd,partno,partname,floor,repack,picktime_repack_mean,picktime_repack_std,picktime_norepack_mea,picktime_norepack_std,supplier1,supplier2
6,C93CT0AQ51,PVM ECU,4,,,,,,NI2,
C,13508E0590,惰齒輪,4,,,,,,HG0,
6,C93CT0DN51,主機組(YARIS),4,,,,,,NI2,
N,P76341200C,REAR CAMERA SET,4,,,,,,NI2,
D,8966176370,引擎控制電腦,4,,,,,,TG0,
C,SZ31966001,油封,4,,,,,,HG0,
G,S274311810,發電機皮帶盤,4,,,,,,TG0,
A,865100B040,高音喇叭總成,4,,,,,,KG0,I902
A,733400D030C0,安全帶總成,4,,,,,,KG0,H805
C,2.21E+14,,4,,,,,,HG0,
C,S342671381,輸出軸軸承,4,,,,,,HG0,
N,PZ0610M75111,雷達頭(後)-白,4,,,,,,NI2,NI54
D,8.11E+46,,4,,,,,,TG0,
A,7592347020,黑絕緣貼膠,4,,,,,,TG0,
O,987060020,,4,,,,,,TG0,
D,896614D480,引擎控制電腦,4,,,,,,TG0,
C,S691101531,車門外把手,4,,,,,,HG0,
C,S440861091,空氣乾燥器修理包,4,,,,,,HG0,
N,9098115021TW,方向燈燈泡,4,Y,,,,,NH0,
A,9007202006,變速箱指示燈泡,4,Y,,,,,TG0,
N,P76341201S,左鏡頭延長線束-2,4,,,,,,NI2,
A,1320129835B0,連桿次總成,4,,,,,,TG0,
A,865200C030,低音喇叭總成,4,,,,,,TG0,
A,838820B160,量表總成,4,,,,,,KG0,C309
A,8293042010,線束電容器,4,,,,,,TG0,
A,8954352110,左前輪速感知器,4,,,,,,TG0,
G,8562136031,自動門馬達連桿,4,,,,,,TG0,
A,7739133040,加油口扣環,4,,,,,,TG0,
A,5254168040B0,前保險桿護條,4,,,,,,KG0,F601
A,8266242651,繼電器盒上蓋,4,,,,,,TG0,
D,891B20W071,尾門控制感知器,4,,,,,,TG0,
N,750111149,,4,,,,,,NT3,
A,6749128081,右前車門下骨架支架飾板,4,,,,,,TG0,
A,892210K192,車身電腦,4,,,,,,PG1,
A,6920352080,右後門外把手座,4,,,,,,TG0,
A,314200K014,離合器總泵,4,,,,,,PG1,
A,162670Y090,冷卻水旁通軟管,4,,,,,,PG1,
C,3342437040,副軸2檔齒輪,4,,,,,,HG0,
D,6921053040A2,門外把手,4,,,,,,TG0,
A,7215706160C0,內滑軌架飾蓋,4,,,,,,KG0,S912
A,9004467578,夾扣,4,,,,,,KG0,J004
A,8266242580,繼電器盒上蓋,4,,,,,,TG0,
A,8572058010,電動窗馬達總成,4,,,,,,TG0,
A,5385542050,前輪弧開口延伸板墊,4,,,,,,TG0,
D,2382046100,軟管,4,,,,,,TG0,
D,8607776010C0,天線外殼,4,,,,,,TG0,
A,7323002F70C0,座內側安全帶總成,4,,,,,,KG0,H805
D,8212550061,變速箱配線,4,,,,,,TG0,
A,5211658040,前保險桿左側固定架,4,,,,,,TG0,
D,2227136010,節汽閥體墊片,4,,,,,,TG0,
A,8126052120B0,地圖燈總成,4,,,,,,TG0,
A,7461052030B1,輔助把手,4,,,,,,TG0,
D,1660438020,冷卻皮帶惰輪,4,,,,,,TG0,
A,6921012320B7,門外把手,4,,,,,,TG0,
G,6563126020,輪弧固定板,4,,,,,,TG0,
D,7689358030,後擾流固定蓋板,4,,,,,,TG0,
A,733800D020A0,安全帶總成,4,,,,,,KG0,H805
G,3303437020,三檔齒輪,4,,,,,,TG0,
V,C5BCN00L52,專用車充線,4,,,,,,NI2,
A,7682508010,牌照燈飾板護條,4,,,,,,TG0,TMS
N,PZ061CA753,蜂鳴器,4,,,,,,NI2,NI54
G,6785126100,右前門維修孔蓋,4,,,,,,TG0,
A,8298812060,配線,4,,,,,,TG0,
A,4815716040,圈狀彈簧防塵套,4,,,,,,KG0,B601
A,8382247100,儀表底蓋,4,,,,,,TG0,
A,79965BZ020B0,後座椅腳側蓋,4,,,,,,KG0,S912
A,8796158260,視鏡片,4,,,,,,TG0,
D,4553560010,方向機齒條防塵蓋,4,,,,,,TG0,
A,7586408020,左門檻護條,4,,,,,,TG0,TMS
D,89348V1141,雷達感知器固定座,4,Y,,,,,TG0,
D,8917058100,SRS氣囊電腦,4,,,,,,TG0,
6,C93CN00K56,行車紀錄器線組,4,,,,,,NI2,
D,8475224020,按摩座椅開關,4,,,,,,TG0,
D,7688953010,後擾流板膠著劑,4,,,,,,TG0,
D,8793178070,後視鏡鏡片,4,,,,,,TG0,
A,5892302210C0,後置物盒後端板,4,,,,,,KG0,F601
6,C95CB0AM56,電源線組包,4,,,,,,NI2,
A,725260M010C0,傾斜調整器解除把手,4,Y,,,,,KG0,S912
G,4553529045,方向機齒條防塵套,4,,,,,,TG0,
A,5880647020,手套箱內盒,4,,,,,,TG0,
D,7423124090C0,右前門控飾板,4,,,,,,TG0,
A,8155552A81,綜合燈燈座及線束次總成,4,,,,,,TG0,
6,C9AC40DJ54,零件包,4,,,,,,NI2,
A,8158506450,尾燈插座,4,,,,,,KG0,D401
A,6905033160,六角鎖總成,4,,,,,,TG0,
F,4416200090T,釋放閥,4,,,,,,DG0,
A,8414042101,頭燈變光器開關總成,4,,,,,,TG0,
D,8216533070,車身配線,4,,,,,,TG0,
A,7.46E+09,,4,,,,,,TG0,
D,8679078090,攝影鏡頭,4,,,,,,TG0,
V,C93CTUXN59,配件包+說明書,4,,,,,,NI2,
A,817200040,,4,,,,,,TG0,
A,79187BZ190B0,外蓋,4,,,,,,KG0,S912
N,RFD06,刮傷補漆筆-閃電黃,4,,,,,,NIL,
A,89831V2010,氣囊感知器,4,,,,,,TG0,
A,8520747030,右頭燈清洗作動器,4,,,,,,TG0,
D,8586048010,右椅墊溫度控制鼓風機,4,,,,,,TG0,
G,5543326100C0,儀表板下護板,4,,,,,,TG0,
A,47220V2020,煞車總泵儲液桶總成,4,,,,,,TG0,
A,692100D420D0,前車門外把手，右,4,,,,,,KG0,E502
D,7583776010C0,車門握把,4,,,,,,TG0,
A,4815833020,圈狀彈簧下膠墊,4,,,,,,TG0,
N,RF3U4,補漆筆(摩登紅),4,,,,,,NIL,
A,55815K0020,密封,4,,,,,,TG0,TME
A,6257230030C0,左下車頂側內飾板,4,,,,,,TG0,
A,6784842010C0,尾門維修孔蓋,4,,,,,,TG0,
A,8281712K80,線束護板,4,,,,,,KG0,T002
A,5541302750C0,中下儀表板面板,4,,,,,,KG0,J004
D,8796176360,視鏡片,4,,,,,,TG0,
C,S49C0E0240,感知器,4,,,,,,HG0,
D,8211430200,引擎室線束,4,,,,,,TG0,
D,48737V2010,外蓋,4,,,,,,TG0,
A,2.62E+35,,4,,,,,,PG1,
A,8646642120,前進識別外蓋,4,,,,,,TG0,
A,68630F4010,門限位器總成,4,,,,,,TG0,TME
A,1603131031,含節溫器進水口次總成,4,,,,,,TG0,
A,8793142G00,視鏡片,4,,,,,,TG0,
D,8793153190,視鏡片,4,,,,,,TG0,
A,7212847020C0,左前座椅滑軌內蓋,4,,,,,,TG0,
V,RF8Y6,刮傷補漆筆-星空藍,4,,,,,,NIL,
A,625670D020B0,外蓋,4,,,,,,KG0,S912
C,1355911010,張緊輪制動蹄,4,Y,,,,,HG0,
A,8404060160,多功能開關,4,,,,,,TG0,
A,7337308190C0,左後肩帶繫鏈蓋,4,,,,,,TG0,TMS
N,RF2XW,刮傷補漆筆-霓光白/雙色,4,,,,,,NIL,
A,8796412020,左後視鏡安裝孔飾蓋,4,,,,,,TG0,
D,8679948090,攝影鏡頭線束,4,,,,,,TG0,
A,8983160080,氣囊感知器,4,,,,,,TG0,
G,8966126S51,引擎控制電腦,4,,,,,,TG0,
G,8983158010,氣囊感知器,4,,,,,,TG0,
A,7213706210C0,座椅導軌外蓋,4,,,,,,KG0,S912
D,8917078360,SRS氣囊電腦,4,,,,,,TG0,
C,S815511190,後方向燈殼，右,4,,,,,,HG0,
G,7468026030,輔助把手總成,4,,,,,,TG0,
A,7323006620C0,座內側安全帶總成,4,,,,,,KG0,H805
A,718620M010B0,內座椅滑軌飾蓋,4,,,,,,KG0,S912
A,2390121110,燃油管,4,,,,,,TG0,
A,8262030390,易熔絲盒總成,4,,,,,,TG0,
A,6335302030,車頂篷墊塊,4,Y,,,,,KG0,S912
6,C88CT12K56,車門延長線,4,,,,,,NI2,
G,6248736030B0,右車頂側內飾蓋,4,,,,,,TG0,
G,7730052030,油箱蓋總成,4,,,,,,TG0,
A,151040V040,油底殼機油濾網,4,,,,,,TG0,
A,692100D340C0,門外把手,4,,,,,,PG1,
C,4529237060,轉向主軸下防塵套,4,,,,,,HG0,
D,7688753020,後擾流板密封板,4,,,,,,TG0,
D,5857148040,腳踏墊,4,,,,,,TG0,
D,5563433050,固定架,4,,,,,,TG0,
D,5314230100,水箱總成罩飾板,4,,,,,,TG0,
A,86466B5030C0,車道辨識鏡頭外蓋,4,,,,,,TG0,
A,6563158020,輪弧固定板,4,,,,,,TG0,
A,8281512510,線束護蓋,4,,,,,,KG0,T002
A,238270Y150,油氣循環軟管,4,,,,,,KG0,T009
D,7531248041,水箱總成護罩徽飾座,4,,,,,,TG0,
A,4823458010,右後座椅圈彈簧蓋,4,,,,,,TG0,
N,P763447007,車體線組,4,,,,,,NI2,
G,8847134010,冷媒儲液桶,4,,,,,,TG0,
C,S4885E0070,扭力桿襯套,4,Y,,,,,HG0,
A,5547347080B0,儀表喇叭板,4,,,,,,TG0,
A,443808130,,4,,,,,,TG0,TMS
A,5578306120,車頸減音墊,4,,,,,,KG0,J004
A,76908V2010A0,擋泥板,4,,,,,,TG0,
A,4825732090,後圈狀彈簧上膠墊,4,,,,,,TG0,
A,5541302730C0,中下儀表板面板,4,,,,,,KG0,J004
A,6335302040,車頂篷墊塊,4,Y,,,,,KG0,S912
A,5300133010,水箱,4,,,,,,TG0,
D,8922148640,車身多功能ECU,4,,,,,,TG0,
A,130110V080,活塞環組,4,,,,,,TG0,
A,7183308080B0,右後座椅傾斜調整蓋,4,,,,,,TG0,TMS
A,8571033290,電動窗馬達總成,4,,,,,,TG0,
A,45535F9010,方向機齒條防塵套,4,,,,,,TG0,TME
A,1371521010,排氣門,4,Y,,,,,TG0,
A,8404042130,多功能開關,4,,,,,,TG0,
A,8794847380,左後視鏡外殼,4,,,,,,TG0,
A,SU00309259,固定扣,4,,,,,,TG0,
A,5547410100,置物盒中間飾板,4,,,,,,TG0,
N,P75C212006,天線(LTE+GPS),4,,,,,,NI2,
C,5204037010,保桿孔蓋,4,,,,,,HG0,
D,7690246030,左葉子板擋泥板次總成,4,,,,,,TG0,
D,6786424020,門防水膠條,4,,,,,,TG0,
A,SU00303677,變速箱閥體機油濾清器,4,,,,,,TG0,
A,1736011090,管總成,4,,,,,,TG0,
A,7682560250,牌照燈飾板護條,4,,,,,,TG0,
D,8432911030,方向燈開關,4,,,,,,TG0,
D,8430848040,螺旋線圈總成,4,,,,,,TG0,
A,8951628050,防滑控制感知器線束,4,,,,,,TG0,
D,8865053610,冷氣機放大器,4,,,,,,TG0,
A,5385542040,輪弧開口延伸板墊,4,,,,,,TG0,
A,9044508234,螺栓,4,,,,,,TG0,
A,8657058040,揚聲器總成,4,,,,,,TG0,
A,892200Z720,車身多功能ECU,4,,,,,,PG1,
A,137110Y020,進氣門,4,Y,,,,,PG1,TAM
A,8790733180,視鏡片,4,,,,,,TG0,
6,C07C40AL59,前方車體線,4,,,,,,NI2,
D,5352548040,引擎蓋鎖釋放桿護板,4,,,,,,TG0,
C,8.83E+174,,4,,,,,,HG0,
D,867B048250,右側鏡頭,4,,,,,,TG0,
A,82666V2350,配線連接頭,4,,,,,,TG0,
D,6789876011,左後門襯墊,4,,,,,,TG0,
D,8266252B50,繼電器盒上蓋,4,,,,,,TG0,
D,8175124010,左後側方向燈殼,4,,,,,,TG0,
C,8.45E+54,,4,,,,,,HG0,
D,4834130160,鋼板緩衝墊,4,,,,,,TG0,
A,6921152100B1,門外把手,4,,,,,,TG0,
D,8646678040,前進識別外蓋,4,,,,,,TG0,
D,8266050030,引擎室繼電器盒,4,,,,,,TG0,
A,692100T020A0,門外把手,4,,,,,,TG0,TMS
A,557840K030,左整流罩上通風支架,4,,,,,,PG1,
G,8173136100,方向燈燈殼,4,,,,,,TG0,
D,8112553540,頭燈線組,4,,,,,,TG0,
A,5311347030,水箱總成左下護罩,4,,,,,,TG0,
N,15300647010,Ｏ型環,4,,,,,,NT7,
A,7266842010C0,右後座椅背鎖座,4,,,,,,TG0,
A,SU00305237,視鏡片,4,,,,,,TG0,
G,7461026070A0,後輔助把手,4,,,,,,TG0,
A,589030M010B0,置物盒後端板次總成,4,,,,,,KG0,F601
D,7187347040,座椅椅墊下護罩,4,,,,,,TG0,
D,5212558150,右霧燈固定支架,4,,,,,,TG0,
D,8924B53010,轉向感知器,4,,,,,,TG0,
C,S137311610,汽門彈簧，外,4,Y,,,,,HG0,
C,SZ31101020,油封,4,,,,,,HG0,
G,6563126010,輪弧固定板,4,,,,,,TG0,
D,5315352100,右水箱總成護柵側導風管,4,,,,,,TG0,
A,6905042021,六角鎖總成,4,,,,,,TG0,
A,G926V47020,充電器冷卻鼓風機,4,,,,,,TG0,
V,9.91E+11,,4,,,,,,NH0,
A,68124F4020,左後門三角窗玻璃,4,,,,,,TG0,TME
A,3354206060B0,排檔桿頭,4,,,,,,KG0,L205
A,1310121130,活塞,4,,,,,,TG0,
N,P75040K006,車體線組,4,,,,,,NI2,
A,8266352100,繼電器盒下蓋,4,,,,,,TG0,
D,6563158020,輪弧固定板,4,,,,,,TG0,
D,8572078021,電動窗馬達總成,4,,,,,,TG0,
C,69005E0801,車門鎖組,4,,,,,,HG0,
A,8946558180,O2含氧感知器,4,,,,,,TG0,
A,8817147030,左盲點感知器支架,4,,,,,,TG0,
D,8262048160,易熔絲盒總成,4,,,,,,TG0,
G,8173036100,車幅方向燈,4,,,,,,TG0,
D,7730047010,加油口蓋,4,,,,,,TG0,
G,5882526030,手套箱內盒,4,,,,,,TG0,
A,1775224050,空氣濾清器進氣導管,4,,,,,,TG0,
A,885150K500,冷氣機膨脹閥,4,,,,,,KG0,T015
A,SU00309068,燃油泵計量表固定座,4,,,,,,TG0,
C,S342571340,變速箱油封,4,,,,,,HG0,
A,5590202090,暖氣控制器總成,4,,,,,,KG0,L205
A,2741524010,發電機皮帶盤,4,,,,,,TG0,
A,87961F4030,視鏡片,4,,,,,,TG0,TME
A,8983102270,氣囊感知器,4,,,,,,PG1,
6,C56C5V2K51,480P鏡頭(CMOS),4,,,,,,NI2,
6,C88CT12K59,左鏡頭延長線,4,,,,,,NI2,
N,P76344201C,"後鏡頭延長線(W/H,REAR CAMERA) ",4,,,,,,NI2,
D,8492033180,左前電動座椅開關,4,,,,,,TG0,
A,81555BZ300,組合燈線&插座,4,,,,,,KG0,D401
A,5547333130,儀表喇叭板,4,,,,,,TG0,
A,8999052550,智慧型鎖匙控制電腦,4,,,,,,TG0,
D,4834106050,鋼板緩衝墊,4,,,,,,TG0,
A,64766V2010C0,千斤頂飾板蓋,4,,,,,,TG0,
D,2586050121,真空控制閥,4,,,,,,TG0,
D,6903048080,六角鎖總成,4,,,,,,TG0,
A,692060D480C0,左前門內把手次總成,4,,,,,,PG1,TAM
D,8148248080B2,左霧燈蓋,4,,,,,,TG0,
A,85390BZ330,噴嘴&軟管總成,4,,,,,,PG1,TAM
A,8282112490,電瓶端頭外蓋,4,,,,,,TG0,
F,1468106710T,鼓風機電阻,4,,,,,,DG0,
C,44348E0B91,轉向儲油壺軟管,4,,,,,,HG0,
A,8794812G50,左後視鏡孔蓋,4,,,,,,TG0,
D,4834150070,鋼板緩衝墊,4,,,,,,TG0,
A,633410M020,前車頂隔音墊,4,Y,,,,,KG0,S912
A,1215113011,油底殼墊片,4,,,,,,TG0,
A,8148247900,霧燈支架,4,,,,,,TG0,
G,9031146010,差速器油封,4,,,,,,TG0,
D,5816842040,底板孔蓋,4,,,,,,TG0,
A,8414042111,頭燈變光器開關總成,4,,,,,,TG0,
D,8796433030,左後視鏡安裝孔飾蓋,4,,,,,,TG0,
N,RFDCK,刮傷補漆筆(極速紅),4,,,,,,NIL,
D,8954348091,左前輪速感知器,4,,,,,,TG0,
C,SZ30101047,O型環,4,Y,,,,,HG0,
A,1.63E+16,,4,Y,,,,,PG1,
N,PZ06506759,零件包,4,,,,,,NI2,NI09
A,863000K200,放大器天線總成,4,,,,,,PG1,
N,P7593BY00H,HOLDER (RH),4,,,,,,NI2,
A,3294128260,機油冷卻器入口油管,4,,,,,,TG0,
V,C93CTNXJ60,右鏡頭車門延長線束,4,,,,,,NI2,
A,8620358410,音響電源線,4,,,,,,TG0,
A,56117KK041,擋風玻璃防水膠條,4,,,,,,PG1,
A,87912V2020,後視鏡護套,4,,,,,,TG0,
C,S859201470,繼電器總成,4,,,,,,HG0,
A,8917058120,SRS氣囊電腦,4,,,,,,TG0,
D,8572033251,電動窗馬達總成,4,,,,,,TG0,
G,6699026010C0,後排座椅置杯架總成,4,,,,,,TG0,
C,1657578110,水箱總成軟管,4,,,,,,HG0,
A,5890302030C0,置物盒後端板次總成,4,,,,,,KG0,F601
V,C93CTESK57,右鏡頭車門延長線束,4,,,,,,NI2,
A,899H047010,智慧型鎖匙控制電腦,4,,,,,,TG0,
D,1717331020,排氣岐管墊片,4,,,,,,TG0,
A,8212512642,變速箱線束,4,,,,,,TG0,
D,4815848090,圈狀彈簧下膠墊,4,,,,,,TG0,
D,5253646010,前保險桿左側固定座,4,,,,,,TG0,
N,H01004334,Ｏ型環,4,,,,,,NT7,
A,8917042480,SRS氣囊電腦,4,,,,,,TG0,
O,90118WA105,鉚釘,4,Y,,,,,TG0,
C,SZ31142006,油封,4,,,,,,HG0,
D,8520776050,右頭燈清洗作動器,4,,,,,,TG0,
A,442760131,,4,,,,,,TG0,
D,8946553030,O2含氧感知器,4,,,,,,TG0,
D,8105648F81,左頭燈電腦次總成,4,,,,,,TG0,
A,6927808050B0,車門內把手孔蓋,4,,,,,,TG0,TMS
A,7212747020C0,右前座椅滑軌內蓋,4,,,,,,TG0,
A,1352320020,凸輪軸正時皮帶盤,4,,,,,,TG0,
G,8266036070,繼電器盒,4,,,,,,TG0,
A,5211560220,前保險桿側右固定架,4,,,,,,TG0,
A,7252533050C0,傾斜調整器解除把手,4,,,,,,TG0,
A,8266612680,配線連接頭,4,,,,,,TG0,
D,8999748020,電子鑰匙天線,4,,,,,,TG0,
D,8817152020,左盲點感知器支架,4,,,,,,TG0,
N,STI000541,中巴安全門貼紙,4,,,,,,YJ1,
A,8930052072,ECU 彙集箱,4,,,,,,TG0,
D,8266252B60,繼電器盒上蓋,4,,,,,,TG0,
A,8267030380,電瓶端子止擋,4,,,,,,TG0,
A,629400K210,葉子板通風導管總成,4,,,,,,PG1,
C,2.56E+44,,4,,,,,,HG0,
O,90118WAA52,螺栓,4,Y,,,,,TG0,
A,6748847051,左後車門後導槽密封墊,4,,,,,,TG0,
A,5547510130,置物盒中間飾板,4,,,,,,TG0,
D,5881576020,中央扶手置物盒襯墊,4,,,,,,TG0,
D,5573776010,空氣導管密封墊,4,,,,,,TG0,
D,1689725011,加注頸管,4,Y,,,,,TG0,
A,447948030,,4,,,,,,TG0,
D,8954252140,輪速感知器,4,,,,,,TG0,
D,899H076580,智慧型鎖匙控制電腦,4,,,,,,TG0,
G,3294226160,ATF冷卻器出油軟管,4,,,,,,TG0,
A,477220D080,煞車碟扭力板,4,,,,,,KG0,T024
D,8536250030,清洗器支架,4,,,,,,TG0,
A,8953371092,4WD控制ECU,4,,,,,,TG0,
D,4260360600,後鋼圈飾蓋,4,,,,,,TG0,
D,5212658150,左霧燈固定支架,4,Y,,,,,TG0,
D,9031140051,油封,4,,,,,,TG0,
A,861600M010,後揚聲器,4,,,,,,KG0,T012
A,8266242360,繼電器盒上蓋,4,,,,,,TG0,
A,SU00309464,後擋風玻璃下膠條,4,,,,,,TG0,
A,8796333030,右後視鏡安裝孔飾蓋,4,,,,,,TG0,
A,8793147270,視鏡片,4,,,,,,TG0,
A,897B052030,電子鎖&胎壓監測主機,4,,,,,,TG0,
D,8112A52P20,右LED日行燈總成,4,,,,,,TG0,
D,2308050061,燃油泵電阻,4,,,,,,TG0,
A,4553610060,方向機齒條防塵蓋,4,,,,,,TG0,
A,7778533180,燃油泵配線,4,,,,,,TG0,
A,SU00309283,左前後輪弧固定板,4,,,,,,TG0,
D,8966153P70,引擎控制電腦,4,,,,,,TG0,
N,HA04D0000017,凸頭按鈕,4,,,,,,HTB,
N,B33437MS,3M陶瓷研磨環帶 10MM X 330MM 36+,4,,,,,,NCC,
D,8511030700,雨刷馬達總成,4,,,,,,TG0,
A,7186102420C0,內座椅滑軌飾蓋,4,,,,,,KG0,S912
N,RF2NF,刮傷補漆筆 躍動紅+貴族黑,4,,,,,,NIL,
A,8192047030,左反光器總成,4,,,,,,TG0,
A,68640F4010,門限位器總成,4,,,,,,TG0,TME
D,8404078030,多功能開關,4,,,,,,TG0,
D,8580233030,左座椅空調控制鼓風機,4,,,,,,TG0,
A,6920612250C0,左前門內把手次總成,4,,,,,,TG0,
A,SU00308933,視鏡片,4,,,,,,TG0,
F,9496050100T,斷電器,4,,,,,,DG0,
D,5551076050C0,喇叭開啟外蓋總成,4,,,,,,TG0,
N,P75071200G2A,頭蓋(藍灰包),4,,,,,,NI2,
A,7576742040,墊塊,4,,,,,,TG0,
A,90919T2007,點火線圈,4,,,,,,PG1,TAM
A,8946733220,空燃比感知器,4,,,,,,TG0,
V,12336,燈泡,4,Y,,,,,NH0,
A,8424728040,左轉向開關,4,,,,,,TG0,
A,1321136100C0,活塞,4,,,,,,TG0,
A,176130C010,空氣泵外蓋,4,,,,,,PG1,
A,857100D261,電動窗馬達總成,4,,,,,,KG0,T015
A,87907KC010,視鏡片,4,,,,,,KG0,J002
A,8983128060,氣囊感知器,4,,,,,,TG0,
D,8946530490,O2含氧感知器,4,,,,,,TG0,
D,8917048C50,SRS氣囊電腦,4,,,,,,TG0,
6,C56C50DK53,零件包,4,,,,,,NI2,
C,8571037090,電動窗馬達總成,4,,,,,,HG0,
D,8793178050,視鏡片,4,,,,,,TG0,
A,8332052140,油箱浮筒總成,4,,,,,,TG0,
C,3.33E+125,,4,,,,,,HG0,
F,4473008640T,電磁離合器總成,4,,,,,,DG0,
D,8281778730,線束護板,4,,,,,,TG0,
N,P75E142002,ECU(主機),4,,,,,,NI2,
A,84153BZ060,自動遠光燈開關,4,,,,,,PG1,TAM
C,3303937040,環狀同步齒輪,4,,,,,,HG0,
D,8596778060,左燈控LED電腦,4,,,,,,TG0,
6,C15H242K01,中柱地板照明燈,4,,,,,,NI2,
C,SU00200396,離合器軗,4,,,,,,HG0,
A,1371131101,進氣門,4,Y,,,,,TG0,
A,8607747010J6,天線外殼,4,,,,,,TG0,
C,S335042730,變速排檔桿頭,4,,,,,,HG0,
6,C56C500M51,TVI鏡頭,4,,,,,,NI2,
A,5884302A70,換檔孔飾環,4,,,,,,KG0,F601
A,8946712260,混合比感知器,4,,,,,,TG0,
C,4.43E+53,,4,,,,,,HG0,
A,6250533010,右角窗蓋次總成,4,,,,,,TG0,
A,6921160090C0,門外把手,4,,,,,,TG0,
C,S832705300,引擎轉速錶,4,,,,,,HG0,
D,8222553010,頭燈線組,4,,,,,,TG0,
A,90118WA552,水箱總成支架,4,,,,,,TG0,TME
A,6890342015,下尾門支架,4,,,,,,TG0,
C,4.13E+194,,4,,,,,,HG0,
C,8.92E+116,,4,,,,,,HG0,
A,8332006040,油箱浮筒總成,4,,,,,,KG0,T015
C,8.20E+84,,4,,,,,,HG0,
6,C04CEF4H51,顯示器,4,,,,,,NI2,
D,8616078090,前揚聲器,4,,,,,,TG0,
D,896613TF90,引擎控制電腦,4,,,,,,TG0,
C,8815037090,COMPUTER ASSY,4,,,,,,HG0,
D,446650170,,4,,,,,,TG0,
A,6326042130,齒輪總成,4,,,,,,TG0,
A,6927842020C0,門內把手孔蓋,4,,,,,,TG0,
C,S040431113,輪軸殼螺栓組,4,,,,,,HG0,
D,8710650710,空調風箱伺服器次總成,4,,,,,,TG0,
D,7592448020,左黑絕緣貼膠,4,,,,,,TG0,
A,3350427010B0,排檔桿頭,4,,,,,,KG0,S913
A,9006946210,噴水管,4,,,,,,TG0,
C,S896802220,控制器,4,,,,,,HG0,
D,8607733080J1,天線外殼,4,,,,,,TG0,
A,45535WAA01,方向機齒條防塵蓋,4,,,,,,TG0,TMS
N,PZ06147754,停車雷達眼－白色,4,,,,,,NI2,NI54
6,C86H20DJ01,LED後廂照明輔助燈(維修蓋式樣),4,,,,,,NI2,
A,559010D030,暖氣控制基座次總成,4,,,,,,KG0,L205
D,6749553010,右前門下框蓋,4,,,,,,TG0,
A,8592812010,冷氣風扇電阻器,4,,,,,,TG0,
A,8153646120,後轉向信號燈LED,4,,,,,,TG0,
A,2322128290,燃油泵總成,4,,,,,,TG0,
F,1567002770T,繼電器,4,Y,,,,,DG0,
G,415240060,,4,,,,,,TG0,
A,9004A19002,點火線圈總成,4,,,,,,PG1,TAM
N,PZ0611276640,停車偵測雷達-白,4,,,,,,NI2,NI54
C,6.34E+34,,4,,,,,,HG0,
D,8966176240,引擎控制電腦,4,,,,,,TG0,
A,8332042080,油箱浮筒總成,4,,,,,,TG0,
A,9036938006,左前軸轂軸承,4,,,,,,TG0,
G,8949126190,引擎機油感知器,4,,,,,,TG0,
6,C15LK12D56,鍍鉻門把飾片_左後(短),4,,,,,,NI2,
N,9.01E+11,,4,,,,,,NH0,
D,2824937100,繼電器,4,,,,,,TG0,
D,446578020,,4,,,,,,TG0,
D,9091603100,節溫器,4,,,,,,TG0,
D,64743V2010C0,擋板,4,,,,,,TG0,
G,2220421010,進氣空氣流量計次總成,4,,,,,,TG0,
A,9006833295,噴水管,4,,,,,,PG1,
N,24805CU70,飛利浦LED白光燈泡 12-24V,4,,,,,,NH0,
D,5315552290,水箱總成護罩密封墊,4,,,,,,TG0,
D,9094205028,高速胎氣嘴,4,Y,,,,,TG0,
D,9046737005,水箱總成進水管夾,4,Y,,,,,TG0,
G,8481037020B0,電動窗開關總成,4,,,,,,TG0,
A,8520747011,右頭燈清洗作動器,4,,,,,,TG0,
G,8851536010,冷氣機膨脹閥,4,,,,,,TG0,
D,4881533101,平衡桿橡皮,4,,,,,,TG0,
N,PZ0600D780,霧燈開關座,4,,,,,,NI2,NI57
A,5256247030,後保險桿右上固定座,4,,,,,,TG0,
A,5879306020,支架,4,,,,,,KG0,B601
C,4529237080,轉向軸護蓋，左,4,,,,,,HG0,
G,8983128060,氣囊感知器,4,,,,,,TG0,
D,1657331140,水箱總成軟管,4,,,,,,TG0,
D,8434035030,煞車燈開關總成,4,,,,,,TG0,
D,8934078120,車距警示電腦總成,4,,,,,,TG0,
O,400601242,,4,,,,,,TG0,
D,9007515104,頭燈噴水管,4,,,,,,TG0,
D,82663K0070,繼電器盒下蓋,4,,,,,,TG0,
A,8657047011,揚聲器總成,4,,,,,,TG0,
C,8530137042,噴水筒注水口,4,,,,,,HG0,
A,6474502050,外蓋,4,,,,,,PG1,
C,8113537890,大燈後蓋,4,,,,,,HG0,
N,PZ0420D766,左側線組,4,,,,,,NI2,J002
D,7547311040,後車身銘牌,4,,,,,,TG0,
A,5543402270C0,儀表板中下飾板,4,,,,,,KG0,F601
A,532850M020,水箱總成密封墊,4,,,,,,KG0,S913
A,6632190P50,尾門橡皮緩衝墊,4,,,,,,KG0,Y501
D,8793176160,視鏡片,4,Y,,,,,TG0,
C,89545E0590,後輪速感知器，右,4,,,,,,HG0,
D,4881550220,平衡桿橡皮,4,,,,,,TG0,
A,862120D050,收音機支架,4,,,,,,KG0,B601
C,23596EV100,塞子,4,,,,,,HG0,
C,4.83E+284,,4,Y,,,,,HG0,
